idpedido,quantidade,nome_produto,preco_pedido,preco_tabela,diferenca,discount
10338,15,Nord-Ost Matjeshering,20.7,25.89,5.1899986,0
10380,18,Nord-Ost Matjeshering,20.7,25.89,5.1899986,0
10401,18,Nord-Ost Matjeshering,20.7,25.89,5.1899986,0
10461,28,Nord-Ost Matjeshering,20.7,25.89,5.1899986,0
10468,8,Nord-Ost Matjeshering,20.7,25.89,5.1899986,0
10309,30,Grandma's Boysenberry Spread,20,25,5,0
10325,6,Grandma's Boysenberry Spread,20,25,5,0
10254,21,Pt chinois,19.2,24,4.799999,0
10280,20,Pt chinois,19.2,24,4.799999,0
10342,40,Pt chinois,19.2,24,4.799999,0
10356,12,Pt chinois,19.2,24,4.799999,0
10389,15,Pt chinois,19.2,24,4.799999,0
10398,120,Pt chinois,19.2,24,4.799999,0
10425,10,Pt chinois,19.2,24,4.799999,0
10451,120,Pt chinois,19.2,24,4.799999,0
10461,60,Pt chinois,19.2,24,4.799999,0
10476,2,Pt chinois,19.2,24,4.799999,0
10485,30,Pt chinois,19.2,24,4.799999,0
10249,9,Tofu,18.6,23.25,4.6499996,0
10325,9,Tofu,18.6,23.25,4.6499996,0
10333,10,Tofu,18.6,23.25,4.6499996,0
10375,15,Tofu,18.6,23.25,4.6499996,0
10393,42,Tofu,18.6,23.25,4.6499996,0
10409,12,Tofu,18.6,23.25,4.6499996,0
10412,20,Tofu,18.6,23.25,4.6499996,0
10427,35,Tofu,18.6,23.25,4.6499996,0
10474,12,Tofu,18.6,23.25,4.6499996,0
10309,20,Chef Anton's Cajun Seasoning,17.6,22,4.3999996,0
10326,24,Chef Anton's Cajun Seasoning,17.6,22,4.3999996,0
10336,18,Chef Anton's Cajun Seasoning,17.6,22,4.3999996,0
10339,10,Chef Anton's Cajun Seasoning,17.6,22,4.3999996,0
10344,35,Chef Anton's Cajun Seasoning,17.6,22,4.3999996,0
10464,16,Chef Anton's Cajun Seasoning,17.6,22,4.3999996,0
10258,65,Chef Anton's Gumbo Mix,17,21.35,4.3500004,0
10262,12,Chef Anton's Gumbo Mix,17,21.35,4.3500004,0
10290,20,Chef Anton's Gumbo Mix,17,21.35,4.3500004,0
10382,32,Chef Anton's Gumbo Mix,17,21.35,4.3500004,0
10274,20,Flotemysost,17.2,21.5,4.299999,0
10304,2,Flotemysost,17.2,21.5,4.299999,0
10309,3,Flotemysost,17.2,21.5,4.299999,0
10320,30,Flotemysost,17.2,21.5,4.299999,0
10333,40,Flotemysost,17.2,21.5,4.299999,0
10364,5,Flotemysost,17.2,21.5,4.299999,0
10373,50,Flotemysost,17.2,21.5,4.299999,0
10378,6,Flotemysost,17.2,21.5,4.299999,0
10387,15,Flotemysost,17.2,21.5,4.299999,0
10396,60,Flotemysost,17.2,21.5,4.299999,0
10399,30,Flotemysost,17.2,21.5,4.299999,0
10401,60,Flotemysost,17.2,21.5,4.299999,0
10407,15,Flotemysost,17.2,21.5,4.299999,0
10447,2,Flotemysost,17.2,21.5,4.299999,0
10455,30,Flotemysost,17.2,21.5,4.299999,0
10458,50,Flotemysost,17.2,21.5,4.299999,0
10473,12,Flotemysost,17.2,21.5,4.299999,0
10250,15,Louisiana Fiery Hot Pepper Sauce,16.8,21.05,4.25,0
10251,20,Louisiana Fiery Hot Pepper Sauce,16.8,21.05,4.25,0
10303,30,Louisiana Fiery Hot Pepper Sauce,16.8,21.05,4.25,0
10328,40,Louisiana Fiery Hot Pepper Sauce,16.8,21.05,4.25,0
10351,10,Louisiana Fiery Hot Pepper Sauce,16.8,21.05,4.25,0
10366,5,Louisiana Fiery Hot Pepper Sauce,16.8,21.05,4.25,0
10367,15,Louisiana Fiery Hot Pepper Sauce,16.8,21.05,4.25,0
10379,20,Louisiana Fiery Hot Pepper Sauce,16.8,21.05,4.25,0
10401,20,Louisiana Fiery Hot Pepper Sauce,16.8,21.05,4.25,0
10447,35,Louisiana Fiery Hot Pepper Sauce,16.8,21.05,4.25,0
10451,28,Louisiana Fiery Hot Pepper Sauce,16.8,21.05,4.25,0
10493,15,Louisiana Fiery Hot Pepper Sauce,16.8,21.05,4.25,0
10251,6,Gustaf's Knckebrd,16.8,21,4.200001,0
10296,12,Queso Cabrales,16.8,21,4.200001,0
10327,50,Queso Cabrales,16.8,21,4.200001,0
10353,12,Queso Cabrales,16.8,21,4.200001,0
10365,24,Queso Cabrales,16.8,21,4.200001,0
10407,30,Queso Cabrales,16.8,21,4.200001,0
10434,6,Queso Cabrales,16.8,21,4.200001,0
10435,12,Gustaf's Knckebrd,16.8,21,4.200001,0
10442,30,Queso Cabrales,16.8,21,4.200001,0
10443,6,Queso Cabrales,16.8,21,4.200001,0
10466,10,Queso Cabrales,16.8,21,4.200001,0
10486,5,Queso Cabrales,16.8,21,4.200001,0
10489,15,Queso Cabrales,16.8,21,4.200001,0
10248,10,Singaporean Hokkien Fried Mee,9.8,14,4.2,0
10253,40,Maxilaku,16,20,4,0
10290,15,Maxilaku,16,20,4,0
10304,30,Maxilaku,16,20,4,0
10360,35,Maxilaku,16,20,4,0
10400,30,Maxilaku,16,20,4,0
10404,30,Maxilaku,16,20,4,0
10456,21,Maxilaku,16,20,4,0
10481,24,Maxilaku,16,20,4,0
10278,16,Gula Malacca,15.5,19.45,3.9500008,0
10284,21,Gula Malacca,15.5,19.45,3.9500008,0
10291,24,Gula Malacca,15.5,19.45,3.9500008,0
10351,77,Gula Malacca,15.5,19.45,3.9500008,0
10411,40,Gula Malacca,15.5,19.45,3.9500008,0
10452,100,Gula Malacca,15.5,19.45,3.9500008,0
10469,2,Gula Malacca,15.5,19.45,3.9500008,0
10491,15,Gula Malacca,15.5,19.45,3.9500008,0
10251,15,Ravioli Angelo,15.6,19.5,3.8999996,0
10260,50,Ravioli Angelo,15.6,19.5,3.8999996,0
10282,2,Ravioli Angelo,15.6,19.5,3.8999996,0
10326,16,Ravioli Angelo,15.6,19.5,3.8999996,0
10355,25,Ravioli Angelo,15.6,19.5,3.8999996,0
10368,25,Ravioli Angelo,15.6,19.5,3.8999996,0
10416,20,Ravioli Angelo,15.6,19.5,3.8999996,0
10438,15,Ravioli Angelo,15.6,19.5,3.8999996,0
10255,20,Chang,15.2,19,3.8000002,0
10255,25,Inlagd Sill,15.2,19,3.8000002,0
10258,50,Chang,15.2,19,3.8000002,0
10264,35,Chang,15.2,19,3.8000002,0
10270,30,Inlagd Sill,15.2,19,3.8000002,0
10298,40,Chang,15.2,19,3.8000002,0
10298,40,Inlagd Sill,15.2,19,3.8000002,0
10313,12,Inlagd Sill,15.2,19,3.8000002,0
10327,25,Chang,15.2,19,3.8000002,0
10335,7,Chang,15.2,19,3.8000002,0
10337,20,Inlagd Sill,15.2,19,3.8000002,0
10342,24,Chang,15.2,19,3.8000002,0
10342,40,Inlagd Sill,15.2,19,3.8000002,0
10358,20,Inlagd Sill,15.2,19,3.8000002,0
10371,6,Inlagd Sill,15.2,19,3.8000002,0
10393,25,Chang,15.2,19,3.8000002,0
10406,5,Inlagd Sill,15.2,19,3.8000002,0
10418,60,Chang,15.2,19,3.8000002,0
10435,10,Chang,15.2,19,3.8000002,0
10440,45,Chang,15.2,19,3.8000002,0
10469,40,Chang,15.2,19,3.8000002,0
10485,20,Chang,15.2,19,3.8000002,0
10267,50,Boston Crab Meat,14.7,18.4,3.6999998,0
10273,60,Boston Crab Meat,14.7,18.4,3.6999998,0
10285,40,Boston Crab Meat,14.7,18.4,3.6999998,0
10301,10,Boston Crab Meat,14.7,18.4,3.6999998,0
10303,40,Boston Crab Meat,14.7,18.4,3.6999998,0
10347,4,Boston Crab Meat,14.7,18.4,3.6999998,0
10406,2,Boston Crab Meat,14.7,18.4,3.6999998,0
10431,50,Boston Crab Meat,14.7,18.4,3.6999998,0
10448,20,Boston Crab Meat,14.7,18.4,3.6999998,0
10465,20,Boston Crab Meat,14.7,18.4,3.6999998,0
10474,21,Boston Crab Meat,14.7,18.4,3.6999998,0
10482,10,Boston Crab Meat,14.7,18.4,3.6999998,0
10484,10,Boston Crab Meat,14.7,18.4,3.6999998,0
10253,42,Chartreuse verte,14.4,18,3.6000004,0
10257,6,Chartreuse verte,14.4,18,3.6000004,0
10261,20,Steeleye Stout,14.4,18,3.6000004,0
10267,15,Lakkalikri,14.4,18,3.6000004,0
10273,33,Lakkalikri,14.4,18,3.6000004,0
10281,4,Steeleye Stout,14.4,18,3.6000004,0
10285,45,Chai,14.4,18,3.6000004,0
10286,100,Steeleye Stout,14.4,18,3.6000004,0
10294,18,Chai,14.4,18,3.6000004,0
10297,60,Chartreuse verte,14.4,18,3.6000004,0
10305,30,Chartreuse verte,14.4,18,3.6000004,0
10317,20,Chai,14.4,18,3.6000004,0
10318,6,Lakkalikri,14.4,18,3.6000004,0
10319,30,Lakkalikri,14.4,18,3.6000004,0
10321,10,Steeleye Stout,14.4,18,3.6000004,0
10323,4,Chartreuse verte,14.4,18,3.6000004,0
10324,70,Steeleye Stout,14.4,18,3.6000004,0
10343,15,Lakkalikri,14.4,18,3.6000004,0
10347,50,Chartreuse verte,14.4,18,3.6000004,0
10348,15,Chai,14.4,18,3.6000004,0
10354,12,Chai,14.4,18,3.6000004,0
10361,54,Chartreuse verte,14.4,18,3.6000004,0
10363,12,Lakkalikri,14.4,18,3.6000004,0
10370,15,Chai,14.4,18,3.6000004,0
10377,20,Chartreuse verte,14.4,18,3.6000004,0
10390,40,Steeleye Stout,14.4,18,3.6000004,0
10398,30,Steeleye Stout,14.4,18,3.6000004,0
10399,35,Lakkalikri,14.4,18,3.6000004,0
10400,35,Steeleye Stout,14.4,18,3.6000004,0
10406,10,Chai,14.4,18,3.6000004,0
10413,24,Chai,14.4,18,3.6000004,0
10413,14,Lakkalikri,14.4,18,3.6000004,0
10424,60,Steeleye Stout,14.4,18,3.6000004,0
10425,20,Lakkalikri,14.4,18,3.6000004,0
10434,18,Lakkalikri,14.4,18,3.6000004,0
10444,8,Steeleye Stout,14.4,18,3.6000004,0
10445,6,Chartreuse verte,14.4,18,3.6000004,0
10455,20,Chartreuse verte,14.4,18,3.6000004,0
10475,42,Lakkalikri,14.4,18,3.6000004,0
10477,15,Chai,14.4,18,3.6000004,0
10477,20,Chartreuse verte,14.4,18,3.6000004,0
10255,35,Pavlova,13.9,17.45,3.5500011,0
10263,60,Pavlova,13.9,17.45,3.5500011,0
10287,40,Pavlova,13.9,17.45,3.5500011,0
10296,30,Pavlova,13.9,17.45,3.5500011,0
10310,10,Pavlova,13.9,17.45,3.5500011,0
10324,21,Pavlova,13.9,17.45,3.5500011,0
10359,56,Pavlova,13.9,17.45,3.5500011,0
10403,21,Pavlova,13.9,17.45,3.5500011,0
10439,16,Pavlova,13.9,17.45,3.5500011,0
10440,49,Pavlova,13.9,17.45,3.5500011,0
10454,20,Pavlova,13.9,17.45,3.5500011,0
10469,35,Pavlova,13.9,17.45,3.5500011,0
10489,18,Pavlova,13.9,17.45,3.5500011,0
10300,30,Louisiana Hot Spiced Okra,13.6,17,3.3999996,0
10442,60,Louisiana Hot Spiced Okra,13.6,17,3.3999996,0
10475,60,Louisiana Hot Spiced Okra,13.6,17,3.3999996,0
10493,10,Louisiana Hot Spiced Okra,13.6,17,3.3999996,0
10350,15,Valkoinen suklaa,13,16.25,3.25,0
10383,15,Valkoinen suklaa,13,16.25,3.25,0
10429,40,Valkoinen suklaa,13,16.25,3.25,0
10465,25,Valkoinen suklaa,13,16.25,3.25,0
10283,20,Genen Shouyu,12.4,15.5,3.1000004,0
10323,5,Genen Shouyu,12.4,15.5,3.1000004,0
10260,21,Outback Lager,12,15,3,0
10265,20,Outback Lager,12,15,3,0
10278,25,Rd Kaviar,12,15,3,0
10299,20,Outback Lager,12,15,3,0
10308,5,Outback Lager,12,15,3,0
10315,30,Outback Lager,12,15,3,0
10380,30,Outback Lager,12,15,3,0
10389,30,Outback Lager,12,15,3,0
10420,8,Outback Lager,12,15,3,0
10420,20,Rd Kaviar,12,15,3,0
10453,25,Outback Lager,12,15,3,0
10476,12,Outback Lager,12,15,3,0
10485,60,Outback Lager,12,15,3,0
10488,20,Rd Kaviar,12,15,3,0
10284,5,Laughing Lumberjack Lager,11.2,14,2.8000002,0
10287,20,Sasquatch Ale,11.2,14,2.8000002,0
10309,2,Singaporean Hokkien Fried Mee,11.2,14,2.8000002,0
10311,6,Singaporean Hokkien Fried Mee,11.2,14,2.8000002,0
10315,14,Sasquatch Ale,11.2,14,2.8000002,0
10323,4,NuNuCa Nu-Nougat-Creme,11.2,14,2.8000002,0
10332,10,Singaporean Hokkien Fried Mee,11.2,14,2.8000002,0
10345,9,Singaporean Hokkien Fried Mee,11.2,14,2.8000002,0
10347,10,NuNuCa Nu-Nougat-Creme,11.2,14,2.8000002,0
10358,10,Sasquatch Ale,11.2,14,2.8000002,0
10362,50,NuNuCa Nu-Nougat-Creme,11.2,14,2.8000002,0
10367,36,Sasquatch Ale,11.2,14,2.8000002,0
10386,10,Sasquatch Ale,11.2,14,2.8000002,0
10393,7,NuNuCa Nu-Nougat-Creme,11.2,14,2.8000002,0
10404,40,Singaporean Hokkien Fried Mee,11.2,14,2.8000002,0
10438,20,Sasquatch Ale,11.2,14,2.8000002,0
10463,50,Singaporean Hokkien Fried Mee,11.2,14,2.8000002,0
10467,12,NuNuCa Nu-Nougat-Creme,11.2,14,2.8000002,0
10483,35,Sasquatch Ale,11.2,14,2.8000002,0
10492,60,NuNuCa Nu-Nougat-Creme,11.2,14,2.8000002,0
10492,20,Singaporean Hokkien Fried Mee,11.2,14,2.8000002,0
10314,30,Escargots de Bourgogne,10.6,13.25,2.6499996,0
10327,30,Escargots de Bourgogne,10.6,13.25,2.6499996,0
10373,80,Escargots de Bourgogne,10.6,13.25,2.6499996,0
10374,15,Escargots de Bourgogne,10.6,13.25,2.6499996,0
10256,12,Original Frankfurter grne Soe,10.4,13,2.6000004,0
10257,15,Original Frankfurter grne Soe,10.4,13,2.6000004,0
